,name,distance,solar_mass,solar_radius,gravity
0,Sun,0.000015813,0.045820224,0.1017353699999999,1213.0
1,Sirius,0008.6,0.018137172,0.1675036899999999,177.0
2,Canopus,0310,0.075412452,0.11201167,1647.0
3,Alpha Centauri,0004.4,0.029592228,0.1479787199999999,370.0
4,Arcturus,0037,0.051547752,0.1007077399999999,1393.0
5,Vega,0025,0.027683052,0.1469510899999999,351.0
6,Capella,0043,0.040092696,0.0965972199999999,1177.0
7,Rigel,0860,0.040092696,0.0965972199999999,1177.0
8,Procyon,0011.4,0.021955524,0.16647606,217.0
9,Betelgeuse,0640[1],0.011455056,0.1335918999999999,175.0
10,Achernar,0144,0.03818352,0.0965972199999999,1121.0
11,Hadar,0390,0.027683052,0.1469510899999999,351.0
12,Altair,0017,0.049638576,0.1007077399999999,1341.0
13,Acrux,0320,0.049638576,0.1007077399999999,1341.0
14,Aldebaran,0065,0.01909176,0.16647606,188.0
15,Antares,0600,0.01909176,0.16544843,191.0
16,Spica,0260,0.044865636,0.0996801099999999,1237.0
17,Pollux,0034,0.044865636,0.0996801099999999,1237.0
18,Fomalhaut,0025,0.01431882,0.15722739,158.0
19,Deneb,"2,600",0.01909176,0.16647606,188.0
20,Mimosa,0350,0.025773876,0.1448958299999999,336.0
21,Regulus,0077,0.031501404,0.1017353699999999,834.0
22,Adhara,0430,0.074457864,0.11098404,1656.0
23,Shaula,0700,0.07636704,0.1305090099999999,1228.0
24,Castor,0052,0.06204822,0.1952496999999999,446.0
25,Gacrux,0088,0.06204822,0.1952496999999999,446.0
26,Bellatrix,0240,0.07636704,0.0996801099999999,2106.0
27,Elnath,0130,0.046774812,0.0996801099999999,1290.0
28,Miaplacidus,0110,0.084003744,0.1181774499999999,1648.0
29,Alnilam,"2,000",0.021955524,0.17058658,206.0
30,Gamma Velorum,"01,100",0.04295646,0.0976248499999999,1235.0
31,Alnair,0101,0.017182584,0.1335918999999999,263.0
32,Alioth,0081,0.051547752,0.1007077399999999,1393.0
33,Alnitak,01050,0.069684924,0.10687352,1672.0
34,Dubhe,0120,0.069684924,0.1469510899999999,884.0
35,Mirfak,0590,0.070639512,0.10790115,1663.0
36,Wezen,"1,600",0.05250234,0.3884441399999999,95.0
37,Sargas,0270,0.097367976,0.1305090099999999,1566.0
38,Kaus Australis,0140,0.01909176,0.13564716,284.0
39,Avior,0630,0.02863764,0.0976248499999999,823.0
40,Alkaid,0104,0.07636704,0.11201167,1668.0
41,Menkalinan,081,0.0954588,0.1294813799999999,1560.0
42,Atria,0390,0.037228932,0.2024431099999999,248.0
43,Alhena,0109,0.045820224,0.0996801099999999,1264.0
44,Peacock,0180,0.021000936,0.1829181399999999,172.0
45,Alsephina[2],0080,0.061093632,0.102763,1585.0
46,Mirzam,0500,0.00099277152,7.398935999999999,0.0
47,Polaris,0430,0.061093632,0.102763,1585.0
48,Alphard,0180,0.020046348,0.1418129399999999,273.0
49,Mintaka,01200,0.044865636,0.0996801099999999,1237.0
50,Scheat,0196,0.064911984,0.10379063,1651.0
51,Almaaz,0653,0.058229868,0.10379063,1481.0
52,Rasalgethi,0360,0.026728464,0.1448958299999999,348.0
53,Tau Ceti,011.9,0.036274344,0.15517213,412.0
54,Delta Pavonis,019.92,0.053456928,0.1017353699999999,1415.0
55,Ran,010.48,0.063957396,0.10379063,1627.0
56,V382 Carinae,"08,900",0.0715941,0.10790115,1685.0
57,Eta Carinae,"07,500",0.068730336,0.10584589,1681.0
58,Delta Cephei,0887,0.024819288,0.1007077399999999,670.0
59,Mu Cephei,"06,000",0.039138108,0.0965972199999999,1149.0
60,Titawin,044.25,0.035319756,0.0965972199999999,1037.0
61,Rho Cassiopeiae,"08,154",0.041047284,0.0965972199999999,1205.0
62,P Cygni,"05,545",0.067775748,0.10584589,1658.0
63,VV Cephei,"04,900",0.042001872,0.0965972199999999,1233.0
64,61 Cygni,011.41,0.049638576,0.1007077399999999,1341.0
65,R Doradus,0178,0.045820224,0.1017353699999999,1213.0
66,Polaris Australis,0281,0.084003744,0.1181774499999999,1648.0
67,R Coronae Borealis,"04,566",0.043911048,0.0986524799999999,1236.0
68,54 Piscium,036.1,0.059184456,0.102763,1536.0
69,Mira,0300,0.061093632,0.102763,1585.0
70,RW Cephei,"014,000",0.073503276,0.10995641,1666.0
71,Lacaille 8760,012.87,0.0477294,0.1007077399999999,1289.0
72,V838 Monocerotis,"019,896",0.040092696,0.0965972199999999,1177.0
73,HD 140283,0190,0.030546816,0.0976248499999999,878.0
74,II Pegasi,0130,0.046774812,0.0986524799999999,1317.0
75,VY Canis Majoris,"03,900",0.042001872,0.0965972199999999,1233.0
76,Pistol Star,"025,000",0.048683988,0.1007077399999999,1315.0
77,S Doradus,"0169,000",0.025773876,0.1448958299999999,336.0
78,UY Scuti,"05,100",0.046774812,0.0996801099999999,1290.0
79,Barnard's Star,05.98,0.040092696,0.0965972199999999,1177.0
80,Luhman 16,06.52,0.073503276,0.10995641,1666.0
81,Proxima Centauri,04.25,0.041047284,0.10481826,1024.0
82,KIC 8462852,"01,470",0.03818352,0.10379063,971.0
83,R136a1,"0163,000",0.061093632,0.102763,1585.0
84,Melnick 42,"0163,000",0.034365168,0.24560357,156.0
85,WR 102,"018,134",0.007636704,0.1849733999999999,61.0
86,VFTS 352,"0164,000",0.008591292,0.12742612,145.0
87,YBP 1194,"02,772",0.031501404,0.0986524799999999,887.0
88,Gliese 1214,047.5,0.02863764,0.2260786,153.0
89,NML Cygni,"05,251",0.035319756,0.1541445,407.0
90,VB 10,018.72,0.061093632,0.102763,1585.0
91,WOH G64,"0163,000",0.016227996,0.17572473,144.0
92,TRAPPIST-1,039.6,0.040092696,0.0965972199999999,1177.0
93,2MASS J0523-1403,040.3,0.039138108,0.0965972199999999,1149.0
94,WISE 0855âˆ’0714,07.27,0.001909176,2.569075,0.0
95,Icarus,"014,400,000,000",0.044865636,0.1007077399999999,1212.0
